"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R","Birth_of_Child_not_wanted","Disability_Dummy_Ref","Religion_Belief_Dummy","Ethnic_Immigration_Dummy","Sex_Dummy","Sexual_Orientation_Dummy","Age_Dummy","Other_Reason_Dummy","level_of_education_mother_r","Mother_Health_Insurance","HouseHead_Religiosity_R","family_economic_status"
23,2,2,1,0,1,NA,0,0,0,0,0,0,1,0,1,1,1
23,3,4,1,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA
23,3,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,NA
24,14,6,1,0,1,0,0,0,0,0,0,0,0,1,1,1,NA
24,14,6,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
24,14,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
24,14,6,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA
24,14,6,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
24,14,6,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
24,14,4,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,NA
24,14,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,NA
24,14,4,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
24,17,8,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
24,17,8,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
24,17,8,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
24,17,8,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
24,20,4,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
25,17,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,NA
25,17,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
25,17,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
25,17,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
25,3,3,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,1
25,3,3,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1
25,4,4,1,0,0,0,0,0,0,0,0,0,0,NA,1,1,1
25,4,4,1,NA,0,0,0,0,0,0,0,0,0,NA,1,1,1
25,6,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
25,6,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
26,12,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
26,16,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
26,16,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
26,18,2,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
26,19,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1
26,21,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
26,21,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
27,11,2,1,NA,0,0,0,0,0,0,0,0,0,1,1,1,NA
27,16,2,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,1
27,16,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
27,18,4,1,0,1,NA,0,1,0,0,0,0,0,NA,1,1,NA
27,2,2,1,0,0,NA,0,0,0,1,0,0,0,0,1,1,1
27,5,4,1,NA,1,1,0,0,0,0,0,0,0,NA,1,1,1
27,5,4,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,1
27,6,4,1,1,0,1,0,0,0,0,0,0,0,1,1,1,NA
27,6,4,1,NA,0,1,0,0,0,0,0,0,0,1,1,1,NA
28,1,7,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
28,1,7,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
